username,text,label
padding,RT @angelsmomaw: #HCR is unwanted because it will bankrupt the USA and give below inferior Healthcare for all. #gop #tcot #tweetcongress,0
GOPLeader,RT @WMRepublicans President's Remarks Yesterday Don't Match Reality: Dems' Bills INCREASE Premiums http://bit.ly/9Klc8V #hcr,0
cnsnews_com,RT @johnboehner: Pelosi on #HCR: ''We have to pass the bill so that you can find out what is in it'' http://is.gd/a4BPT,0
ExJon,"RT @vermontaigne Cancer patient died after 58,000 X-ray backlog | Irish Examiner: http://bit.ly/dwStxf via @addthis #hcr #m9",0
LJSearles,"RT @HealthReformNow: As the President said to Republicans, #YouHad10Yrs. See what you'll get with #hcr immediately http://go.usa.gov/lFe",0
Rainbow892,RT @thebighoot Barack Obama delivers remarks at St. Louis high school on #HCR but wont take & answer Qs from adult! #tcot #teaparty #p2,0
EzKool,Grandma is Safe with this Health Care Bill - http://bit.ly/cTCm6Y #p2 #tcot #gop #hcr,0
Liam_Fox,Ten Wrong Reasons to Oppose Health Reform -- Politics Daily http://ow.ly/1gIYI #hcr,0
Dudeman1962,"Make no mistake, the #hcr legislation is nothing but a series of dirty tricks. SOP for progressives. #tcot #tpp #tea #p2 #sgp #socialism",0
Pkatt,if people werent so brainwashed we could find a solution that wont sell us out to the people who will take advantage  #hcr #hc09 #healthcare,0
KateRoseMe,Every1 deserves access 2 better healthcare like Sarah Palin got as a child!Sign Petition 4 #HCR http://bit.ly/3GsRB9 #p2,1
sarahlee310,AP Health Care Poll: Only FOUR PERCENT Of Americans Don't Want Any Reform http://bit.ly/9rYbqR #HCR #p2,1
BlondeAmerican,The #teaparty protesters & Anti- #HCR protesters outnumbered the Obama supporters. I'm proud of the people of Missouri.,1
padding,RW so pissed over #hcr they think ppl will vote against Dems. Ppl would vote for ths who care abt ''we the people'' not ''GOP the people'' #p2,0
toddeherman,"President announces he doesn't give a damn what America thinks, or how bad #ObamaCare is http://is.gd/9yY0N #hcr #tcot",0
BlockTax,RT @MikeBlockCPA: Can They Make Obamacare Worse? Yes They Can! COMPROMISE HELL! http://ow.ly/1aoV2 limbaugh #hcr,0
mattklewis,He repeated discredited talking points with a straight face.'' - Rep. Boehner on Pres. Obama's #HCR speech today,0
BrettR4763,RT @Marnus3: Maybe Obama could trick some republicans into voting for the #hcr bill by covering it in blank sheets of paper. #p2 #hcr #ACORN,0
OsborneInk,"#GOPcodered They know America needs #HCR, they just don't want Obama to be the one who does it #p2 #tlot",0
AP_Mobile,Stupak: 12 Dems ready to oppose health care bill http://bit.ly/avqbZW #hcr,0
RebelCapitalist,"Before he was President, he was for #singlepayer & actually spoke very highly of it. Now, he is against it. What gives Mr. President?  #hcr",0
GregWHoward,My latest: ''March Madness'' Patriot Style. Let's end this game against us!  http://bit.ly/9JpBMQ #tcot #ocra #sgp #hcr #tlot #hhrs #teaparty,1
usvoteout,WH hosting dinner party 2nite 4 Dems who voted against #HCR so whats on menu? Kool-aid? dead-fish? or just plain old progressive bribes?,0
StockMarketScam,http://ow.ly/Q2lv .THE HEALTH CARE SELL OUT.They play games with the health of the people .Another Obama sell out.#tcot 3tlot #hcr cnn bbc,0
SangyeH,Amnesty Internat'l: Appalling how many women r dying in the US fr complic due 2pregnancy & childbirth.  1/2 can be prevented. #hcr,1
USLib,How he sleeps at night. RT @wolfblitzercnn: Karl Rove joins me Wednesday in SitRoom 5PM ET. What would you ask him?,0
Contemplari,Uncovered Shocker: Sen. Byrd Single-Handedly Stopped President Clinton From Using Reconciliation http://tinyurl.com/yl252v5  MUST SEE #hcr,0
GOPLeader,The Dem scheme to ram health care takeover through Congress now has a name: the Slaughter Solution http://bit.ly/aMxRVS #hcr,0
bccohan,RT @GOPLeader: The Dem scheme to ram health care takeover through Congress now has a name: the Slaughter Solution http://bit.ly/aMxRVS #hcr,0
exposeliberals,Nancy Pelosi: We have to pass #hcr so you can find out what's in it http://is.gd/a5XoOhttp://is.gd/a5XBB #tcot #tlot #sgp #hhrs,0
rightlyaligned,NYTimes:BO #hcr FATAL FLAW! http://nyti.ms/bYncPq #tcot #teaparty #sgp #beck #gop #rush #p2 #dnc #dems #politics #conservative #ocra #hcr,0
newsbusters,"RT @michellemalkin: Via @GOPleader, here's what Dem schemers are up to now: The Slaughter Solution http://bit.ly/aMxRVS #hcr",0
KaylaAnderson,Obama just tweeted that he wants ppl to spread the facts abt #hcr. Too bad Pelosi admitted already that we won't know facts till it's passed,0
dpschealthcare,"Reminder: kickoff #SXSW 2mrrw w/ #SXSH, Social Health Conf. http://bit.ly/dhkD0g. It's sinful 2 be ths exctd abt #HCR innvatn! :)",1
GOPMinority,@KarlRove Great article in the WSJ today! #tcot #hcr #obama #reconciliation,1
MWJ1231,RT @markos: Good to see labor aboard: Any Dem voting against #HCR will be under threat of primary in 2012: http://is.gd/a8N57,1
MooreWV,Rush Limbaugh says he'll leave the country if Health Care Reform passes. Can we get a notary and make this official? #hcr #takeglennbecktoo,0
Conservativeind,How many ppl would make 2 years of car payments before actually GETTING the car?  THAT is what Obama's #HCR does #tcot #p2,0
ACSCAN,Great turnout already on #hcr petition. Keep spreading the word. Tell 5 ppl 2 sign up now! http://ow.ly/1djQt,0
StewSays,"Sen. McConnell: What we need to do is put the 2,700-page #HCR bill on the shelve and start over with a bipartisan step-by-step appoach.",0
GOPLeader,President Obama to America:  We're Sticking With Our Fundamentally-Flawed Government Takeover of Health Care http://bit.ly/dklZei #hcr,0
michellemalkin,Obama on #hcr: ''Make ur voice heard.'' But only if u agree w/him. Every1 else: Shh. http://is.gd/9CaaT #wreckonciliation,0
Senate_GOPs,McConnell: ''What we know about the health care bill is people don't want it passed.'' #tcot #hcr,0
ViralExistence,Retweet if you have a friend without healthcare - Can you #GOP bastards help out your fellow Americans ? ENOUGH ALREADY!! #TCOT #HCR #P2,0
RenewingAmerica,"Let me get this straight,unemployment is  10-17%, Obama SOTUS promise was to drive more jobs yet the majority of his time is spent #hcr?!",0
YoungRepubMA,A person diagnosed with cancer in the US lives on average 5 years longer than a person diagnosed with cancer in the UK. #hcr #p2 #gop #tcot,0
iDefendFreedom,Stand up for the constitution! Call #Congress NOW! Tell them NO on #hcr! (202) 224-3121 #tcot #teaparty #ocra #women www.house.gov #killbill,0
geojohnson,#thankaliberal if you think it's fiscally responsible to spend billions to educate & supply HC to illegal aliens. #tcot #gop #hcr,0
ExNavy26,Call #Congress today on your break: (202) 224-3121; email: www.house.gov NO on #hcr #tweetcongress #tcot #tlot They need to hear TODAY!,0
thomas2leroy,45K Americans die each yr b/c they don't have hlth ins. Proof: http://bit.ly/39Pw8q #hcr #hcrsummit,1
jilevin,Why We Need Health Care Reform: http://bit.ly/cM35MN #hcr #p2 #topprogs,1
HarryRimalower,"Healthcare is not a privilege, it is a right! That is why I support healthcare reform. #hcr",1
OFA_LA,The need is great. The opportunity's here. Let's seize reform. It's within our grasp'' - President Obama on #HCR yesterday morning in PA.,1
thebighoot,"There are over 3000 mandates in #HCR bill and the REGs haven't been written, Do You Know How Each Will Effect Your LIFE? #p2 #tcot #teaparty",0
GlennBeckClips,Obama is on Fox News now. Yawn! First time I've turned off Fox News in months. #TCOT #P2 #HCr,0
Bob_Schaffer,Denver's Archbishop Chaput: health-care bill ''does not meet minimum moral standards''  http://tw0.us/8XO #tcot #hcr #sgp #hhrs #redco,0
