tweet.id,text,label,username
936469851,Watching by myself  #tweetdebate Not drinking :( waiting to start cringing at McCains blunders,0,drgilpin
936470432,"@ahg3 @MichDot Yeah, slime was actually my second choice, can't say what the first one was. Okay, we're rolling...",0,starweaver
936472030,Preparing to have a heart attack #tweetdebate,0,kyeung808
936472042,"no debate moderators under 50, sorry  #tweetdebate",0,rebot
936472907,@current Now staring at black screen on http://www.current.com/debate  grrrrrrrrrrrrrrr  #current,0,Karoli
936472928,Introducing McCain and Obama. Wait...McCain SHOWED UP! Wow...guess the crisis in Washington is over? #tweetdebate,0,Nicolas Ward
936474032,#tweetdebate nice how Obama held McCains hand and used his free hand to wave to the audience while keeping McCain from doing so,0,kellyrfeller
936475544,Obama -2 it an occupation not war #tweetdebate,0,jas_aiken
936476318,"@TDefren  I'm very nervous, yes #tweetdebate",0,barbaranixon
936476394,#tweetdebate no golden parachutes no padding CEOs - Obama,0,guiambros
936477914,Q for Obama. Does the avg American know what a golden parachute is?  #tweetdebate,0,AlbertMaruggi
936478426,McCain just gave a cheap plug to Ed Kennedy -1 #tweetdebate #current,0,themurmish
936478519,@current current channel reception is continually sucking. Gotta love comcast,0,TopDogVienna
936478533,McCain -3 for Kenndey comment #tweetdebate,0,kdpaine
936478667,McCain -2 for not knowing Kennedy is home and watching the debate  #tweetdebate,0,dabloguiman
936479031,#tweetdebate McCain starts awkwardly,0,daveevans
936479038,-1 McCain for stalling with faux sympathy #tweetdebate,0,KennyL
936479425,@andrewa121 I only get OTA HD with my EyeTV 500.,0,TopDogVienna
936480648,McCain is talking about bipartisan negotiation? Uh...no... -1 pt. #tweetdebate #current,0,ferret67
936480659,@current McCain looks so tired!! wayyyy past his bedtime #current,0,kdpaine
936481104,"dear john, they were sitting down till you came and stirred up a hornets' nest. pulease -4 #tweetdebate",0,kdpaine
936481174,@andrewa121 He looks and sounds pretty tired.,0,PinkOliveFamily
936481635,@current Or its the beginning of the end of the beginning of the end.. Sheesh.,0,xylem
936481733,McCain -2 for a totally muddled answer on what the republicans are doing #tweetdebate,0,Duhh
936482365,McCain: this is the end of the beginning. huh? #tweetdebate,0,gwfrink3
936482757,McCain -2 gving credit to house republicans #tweetdebate,0,mhorta
936482834,-1 McCain all over the place in his answer #tweetdebate,0,thunderberry
