415,1241,1
2118,1241,1
1715,1241,1
836,1241,1
935,1241,1
1949,1241,1
1967,1241,1
1252,0,1
1342,0,1
220,0,1
230,0,1
1502,0,1
1584,0,1
518,0,1
637,0,1
1786,0,1
991,0,1
1029,0,1
1152,0,1
1228,0,1
2001,1242,1
95,1242,1
581,1242,1
587,1242,1
592,1242,1
1759,1242,1
1021,1242,1
1045,1242,1
1916,1242,1
1244,1243,1
290,1243,1
312,1243,1
680,1243,1
1795,1243,1
1867,1243,1
1022,1243,1
1077,1243,1
1919,1243,1
1176,1243,1
1216,1243,1
1291,1244,1
1371,1244,1
1389,1244,1
2049,1244,1
341,1244,1
465,1244,1
634,1244,1
1702,1244,1
975,1244,1
1107,1244,1
1294,1,1
86,1,1
142,1,1
1533,1,1
765,1,1
769,1,1
842,1,1
52,2,1
94,2,1
149,2,1
1467,2,1
1500,2,1
478,2,1
561,2,1
2112,2,1
1665,2,1
780,2,1
1784,2,1
1803,2,1
1046,2,1
1291,3,1
1352,3,1
525,3,1
2116,3,1
923,3,1
1006,3,1
1045,3,1
1907,3,1
1909,3,1
1111,3,1
1115,3,1
2225,3,1
2042,4,1
1394,4,1
645,4,1
841,4,1
1119,4,1
25,5,1
78,5,1
136,5,1
1394,5,1
1438,5,1
1551,5,1
448,5,1
586,5,1
766,5,1
1758,5,1
2160,5,1
1014,5,1
1046,5,1
1112,5,1
95,1999,1
1335,1999,1
336,1999,1
346,1999,1
396,1999,1
1990,1999,1
606,1999,1
777,1999,1
1128,1999,1
92,1245,1
97,1245,1
123,1245,1
146,1245,1
1529,1245,1
1631,1245,1
1675,1245,1
1847,1245,1
1172,1245,1
1183,1245,1
1193,1245,1
1354,6,1
198,6,1
478,6,1
715,6,1
2132,6,1
959,6,1
1935,6,1
64,1246,1
1399,1246,1
1465,1246,1
548,1246,1
702,1246,1
1869,1246,1
1153,1246,1
2022,2000,1
1372,2000,1
1382,2000,1
1428,2000,1
1598,2000,1
524,2000,1
2100,2000,1
1796,2000,1
2147,2000,1
953,2000,1
1850,2000,1
2195,2000,1
2212,2000,1
1100,2000,1
1973,2000,1
550,7,1
598,7,1
623,7,1
674,7,1
813,7,1
1842,7,1
1172,7,1
1992,1247,1
321,1247,1
549,1247,1
628,1247,1
733,1247,1
815,1247,1
1829,1247,1
1038,1247,1
1381,1248,1
245,1248,1
584,1248,1
613,1248,1
1781,1248,1
990,1248,1
1003,1248,1
1022,1248,1
1211,1248,1
1361,8,1
168,8,1
210,8,1
1459,8,1
357,8,1
389,8,1
565,8,1
2110,8,1
1662,8,1
790,8,1
818,8,1
1774,8,1
2253,8,1
259,9,1
283,9,1
339,9,1
359,9,1
479,9,1
2093,9,1
591,9,1
1902,9,1
1121,9,1
84,1249,1
1445,1249,1
622,1249,1
770,1249,1
1997,1249,1
1786,1249,1
900,1249,1
909,1249,1
1418,1250,1
1438,1250,1
299,1250,1
1640,1250,1
625,1250,1
670,1250,1
1707,1250,1
873,1250,1
913,1250,1
95,1251,1
230,1251,1
850,1251,1
1775,1251,1
949,1251,1
1125,1251,1
1159,1251,1
78,1252,1
2048,1252,1
337,1252,1
1522,1252,1
2071,1252,1
1655,1252,1
804,1252,1
1867,1252,1
1164,1252,1
1217,1252,1
2250,1252,1
1353,10,1
211,10,1
1475,10,1
1517,10,1
373,10,1
528,10,1
536,10,1
559,10,1
724,10,1
838,10,1
849,10,1
2144,10,1
1796,10,1
1875,10,1
1397,1253,1
433,1253,1
672,1253,1
1275,1254,1
106,1254,1
134,1254,1
273,1254,1
2060,1254,1
614,1254,1
630,1254,1
736,1254,1
864,1254,1
2211,1254,1
142,1255,1
1428,1255,1
233,1255,1
2048,1255,1
1606,1255,1
579,1255,1
904,1255,1
1861,1255,1
1325,11,1
236,11,1
1469,11,1
300,11,1
323,11,1
327,11,1
505,11,1
735,11,1
2171,11,1
1180,11,1
1194,11,1
66,12,1
104,12,1
133,12,1
187,12,1
549,12,1
1659,12,1
1778,12,1
1864,12,1
981,12,1
2200,12,1
1962,12,1
1328,13,1
1521,13,1
1608,13,1
1645,13,1
604,13,1
2148,13,1
2152,13,1
1842,13,1
1019,13,1
1332,14,1
197,14,1
309,14,1
393,14,1
521,14,1
1634,14,1
671,14,1
1733,14,1
883,14,1
988,14,1
1015,14,1
2199,14,1
1914,14,1
1124,14,1
1929,14,1
1934,14,1
1286,1256,1
1479,1256,1
431,1256,1
1570,1256,1
525,1256,1
1619,1256,1
1625,1256,1
1786,1256,1
933,1256,1
975,1256,1
1913,1256,1
2036,15,1
1385,15,1
214,15,1
1480,15,1
1555,15,1
1662,15,1
701,15,1
1736,15,1
2166,15,1
1885,15,1
297,16,1
473,16,1
1744,16,1
936,16,1
1152,16,1
1946,16,1
1389,1257,1
1487,1257,1
353,1257,1
406,1257,1
454,1257,1
747,1257,1
1875,1257,1
1942,1257,1
1293,17,1
98,17,1
2035,17,1
1382,17,1
239,17,1
1581,17,1
579,17,1
713,17,1
738,17,1
744,17,1
1122,17,1
1272,1258,1
1276,1258,1
167,1258,1
1421,1258,1
255,1258,1
319,1258,1
1519,1258,1
476,1258,1
1619,1258,1
1804,1258,1
989,1258,1
1903,1258,1
2007,2001,1
176,2001,1
1466,2001,1
347,2001,1
353,2001,1
2067,2001,1
568,2001,1
970,2001,1
1113,2001,1
332,18,1
392,18,1
2070,18,1
633,18,1
653,18,1
1689,18,1
824,18,1
